time,wrist_pos,wrist_vel,elbow_pos,elbow_vel,wrist_tau,elbow_tau,M11_wrist,M22_elbow
0.295000,2.472929,8.538487,-1.186748,-4.485042,-20.000000,0.000000,1.333000,1.151045
0.300000,2.515138,8.441715,-1.209081,-4.466583,-20.000000,0.000000,1.333000,1.096698
0.305000,2.556890,8.350479,-1.231348,-4.453476,-20.000000,0.000000,1.333000,1.045778
0.310000,2.598212,8.264410,-1.253576,-4.445597,-20.000000,0.000000,1.333000,0.998247
0.315000,2.639128,8.183171,-1.275790,-4.442805,-20.000000,0.000000,1.333000,0.954068
0.320000,2.679660,8.106458,-1.298015,-4.444925,-20.000000,0.000000,1.333000,0.913203
0.325000,2.719830,8.033994,-1.320274,-4.451737,-20.000000,0.000000,1.333000,0.875614
0.330000,2.759658,7.965530,-1.342589,-4.462967,-20.000000,0.000000,1.333000,0.841262
0.335000,2.799162,7.900836,-1.364980,-4.478274,-20.000000,0.000000,1.333000,0.810109
0.340000,2.838361,7.839707,-1.387466,-4.497241,-20.000000,0.000000,1.333000,0.782117
0.345000,2.877270,7.781956,-1.410063,-4.519377,-20.000000,0.000000,1.333000,0.757247
0.350000,2.915908,7.727416,-1.432784,-4.544111,-20.000000,0.000000,1.333000,0.735460
0.355000,2.954287,7.675937,-1.455638,-4.570799,-20.000000,0.000000,1.333000,0.716718
0.360000,2.992424,7.627383,-1.478631,-4.598736,-20.000000,0.000000,1.333000,0.700981
0.365000,3.030332,7.581636,-1.501767,-4.627178,-20.000000,0.000000,1.333000,0.688210
0.370000,3.068025,7.538588,-1.525044,-4.655356,-20.000000,0.000000,1.333000,0.678366
0.375000,3.105516,7.498147,-1.548457,-4.682513,-20.000000,0.000000,1.333000,0.671410
0.380000,3.142817,7.460227,-1.571996,-4.707928,-20.000000,0.000000,1.333000,0.667301
0.385000,3.179941,7.424753,-1.595651,-4.730945,-20.000000,0.000000,1.333000,0.666001
0.390000,3.216899,7.391655,-1.619406,-4.751000,-20.000000,0.000000,1.333000,0.667470
0.395000,3.253703,7.360868,-1.643244,-4.767641,-20.000000,0.000000,1.333000,0.671668
0.400000,3.290365,7.332330,-1.667147,-4.780540,-20.000000,0.000000,1.333000,0.678556
0.405000,3.326895,7.305982,-1.691094,-4.789498,-20.000000,0.000000,1.333000,0.688092
0.410000,3.363304,7.281762,-1.715067,-4.794445,-20.000000,0.000000,1.333000,0.700239
0.415000,3.399602,7.259611,-1.739044,-4.795427,-20.000000,0.000000,1.333000,0.714955
0.420000,3.435799,7.239469,-1.763007,-4.792594,-20.000000,0.000000,1.333000,0.732200
0.425000,3.471906,7.221273,-1.786938,-4.786180,-20.000000,0.000000,1.333000,0.751935
0.430000,3.507930,7.204961,-1.810820,-4.776486,-20.000000,0.000000,1.333000,0.774118
0.435000,3.543883,7.190471,-1.834639,-4.763854,-20.000000,0.000000,1.333000,0.798709
0.440000,3.579771,7.177741,-1.858383,-4.748657,-20.000000,0.000000,1.333000,0.825666
0.445000,3.615605,7.166709,-1.882039,-4.731274,-20.000000,0.000000,1.333000,0.854948
0.450000,3.651392,7.157315,-1.905599,-4.712086,-20.000000,0.000000,1.333000,0.886512
0.455000,3.687139,7.149501,-1.929057,-4.691455,-20.000000,0.000000,1.333000,0.920315
0.460000,3.722855,7.143210,-1.952405,-4.669725,-20.000000,0.000000,1.333000,0.956312
0.465000,3.758547,7.138389,-1.975641,-4.647213,-20.000000,0.000000,1.333000,0.994460
0.470000,3.794222,7.134986,-1.998762,-4.624204,-20.000000,0.000000,1.333000,1.034711
0.475000,3.829887,7.132951,-2.021767,-4.600955,-20.000000,0.000000,1.333000,1.077020
0.480000,3.865548,7.132238,-2.044656,-4.577690,-20.000000,0.000000,1.333000,1.121338
0.485000,3.901212,7.132803,-2.067429,-4.554604,-20.000000,0.000000,1.333000,1.167616
0.490000,3.936885,7.134604,-2.090088,-4.531863,-20.000000,0.000000,1.333000,1.215804
0.495000,3.972573,7.137601,-2.112636,-4.509608,-20.000000,0.000000,1.333000,1.265848
0.500000,4.008282,7.141754,-2.135076,-4.487955,-20.000000,0.000000,1.333000,1.317696
0.505000,4.044017,7.147026,-2.157411,-4.466999,-20.000000,0.000000,1.333000,1.371293
0.510000,4.079784,7.153381,-2.179645,-4.446815,-20.000000,0.000000,1.333000,1.426582
0.515000,4.115588,7.160782,-2.201782,-4.427462,-20.000000,0.000000,1.333000,1.483504
0.520000,4.151434,7.169194,-2.223827,-4.408984,-20.000000,0.000000,1.333000,1.542001
0.525000,4.187327,7.178579,-2.245784,-4.391411,-20.000000,0.000000,1.333000,1.602009
0.530000,4.223271,7.188901,-2.267658,-4.374761,-20.000000,0.000000,1.333000,1.663466
0.535000,4.259272,7.200118,-2.289453,-4.359044,-20.000000,0.000000,1.333000,1.726305
0.540000,4.295333,7.212191,-2.311174,-4.344258,-20.000000,0.000000,1.333000,1.790459
0.545000,4.331458,7.225074,-2.332826,-4.330395,-20.000000,0.000000,1.333000,1.855858
0.550000,4.367652,7.238719,-2.354414,-4.317438,-20.000000,0.000000,1.333000,1.922430
0.555000,4.403917,7.253074,-2.375940,-4.305364,-20.000000,0.000000,1.333000,1.990101
0.560000,4.440257,7.268082,-2.397411,-4.294144,-20.000000,0.000000,1.333000,2.058794
0.565000,4.476676,7.283678,-2.418830,-4.283743,-20.000000,0.000000,1.333000,2.128430
0.570000,4.513175,7.299791,-2.440200,-4.274117,-20.000000,0.000000,1.333000,2.198927
0.575000,4.549756,7.316340,-2.461526,-4.265218,-20.000000,0.000000,1.333000,2.270202
0.580000,4.586423,7.333236,-2.482811,-4.256993,-20.000000,0.000000,1.333000,2.342167
0.585000,4.623174,7.350377,-2.504058,-4.249378,-20.000000,0.000000,1.333000,2.414733
0.590000,4.660013,7.367648,-2.525270,-4.242303,-20.000000,0.000000,1.333000,2.487808
0.595000,4.696937,7.384918,-2.546448,-4.235692,-20.000000,0.000000,1.333000,2.561295
0.600000,4.733947,7.402039,-2.567596,-4.229457,-20.000000,0.000000,1.333000,2.635098
0.605000,4.771042,7.418842,-2.588713,-4.223500,-20.000000,0.000000,1.333000,2.709114
0.610000,4.808217,7.435135,-2.609802,-4.217712,-20.000000,0.000000,1.333000,2.783238
0.615000,4.845471,7.450701,-2.630861,-4.211970,-20.000000,0.000000,1.333000,2.857364
0.620000,4.882797,7.465292,-2.651892,-4.206137,-20.000000,0.000000,1.333000,2.931379
0.625000,4.920190,7.478625,-2.672892,-4.200058,-20.000000,0.000000,1.333000,3.005170
0.630000,4.957642,7.490380,-2.693860,-4.193561,-20.000000,0.000000,1.333000,3.078618
0.635000,4.995143,7.500193,-2.714792,-4.186450,-20.000000,0.000000,1.333000,3.151604
0.640000,5.032682,7.507650,-2.735685,-4.178506,-20.000000,0.000000,1.333000,3.224003
0.645000,5.070243,7.512283,-2.756532,-4.169483,-20.000000,0.000000,1.333000,3.295689
0.650000,5.107811,7.513564,-2.777328,-4.159104,-20.000000,0.000000,1.333000,3.366530
0.655000,5.145365,7.510895,-2.798063,-4.147060,-20.000000,0.000000,1.333000,3.436395
0.660000,5.182883,7.503606,-2.818728,-4.133003,-20.000000,0.000000,1.333000,3.505149
0.665000,5.220338,7.490944,-2.839311,-4.116547,-20.000000,0.000000,1.333000,3.572654
0.670000,5.257698,7.472070,-2.859797,-4.097261,-20.000000,0.000000,1.333000,3.638773
0.675000,5.294929,7.446050,-2.880171,-4.074667,-20.000000,0.000000,1.333000,3.703365
0.680000,5.331988,7.411855,-2.900412,-4.048242,-20.000000,0.000000,1.333000,3.766293
0.685000,5.368830,7.368356,-2.920499,-4.017409,-20.000000,0.000000,1.333000,3.827417
0.690000,5.405401,7.314324,-2.940407,-3.981545,-20.000000,0.000000,1.333000,3.886602
0.695000,5.441644,7.248437,-2.960107,-3.939978,-20.000000,0.000000,1.333000,3.943715
0.700000,5.477490,7.169288,-2.979566,-3.891996,-20.000000,0.000000,1.333000,3.998628
0.705000,5.512867,7.075401,-2.998751,-3.836852,-20.000000,0.000000,1.333000,4.051220
0.710000,5.547693,6.965255,-3.017620,-3.773772,-20.000000,0.000000,1.333000,4.101378
0.715000,5.581880,6.837311,-3.036130,-3.701981,-20.000000,0.000000,1.333000,4.149001
0.720000,5.615330,6.690057,-3.054233,-3.620709,-20.000000,0.000000,1.333000,4.194001
0.725000,5.647940,6.522049,-3.071879,-3.529227,-20.000000,0.000000,1.333000,4.236303
0.730000,5.679600,6.331970,-3.089014,-3.426863,-20.000000,0.000000,1.333000,4.275853
0.735000,5.710194,6.118684,-3.105579,-3.313042,-20.000000,0.000000,1.333000,4.312612
0.740000,5.739600,5.881300,-3.121515,-3.187304,-20.000000,0.000000,1.333000,4.346566
0.745000,5.767696,5.619222,-3.136762,-3.049342,-20.000000,0.000000,1.333000,4.377720
0.750000,5.794357,5.332199,-3.151257,-2.899019,-20.000000,0.000000,1.333000,4.406103
0.755000,5.819459,5.020360,-3.164939,-2.736389,-20.000000,0.000000,1.333000,4.431768
0.760000,5.842880,4.684227,-3.177747,-2.561701,-20.000000,0.000000,1.333000,4.454784
0.765000,5.864504,4.324711,-3.189625,-2.375402,-20.000000,0.000000,1.333000,4.475243
0.770000,5.884219,3.943092,-3.200515,-2.178120,-20.000000,0.000000,1.333000,4.493251
0.775000,5.901924,3.540975,-3.210368,-1.970649,-20.000000,0.000000,1.333000,4.508926
0.780000,5.917525,3.120235,-3.219138,-1.753917,-20.000000,0.000000,1.333000,4.522392
0.785000,5.930940,2.682956,-3.226783,-1.528960,-20.000000,0.000000,1.333000,4.533776
