time,theta0,theta1,theta2
0.9590000000000007,4.192214665242794,-2.6272343110499805,3.0089536184066494
0.9600000000000007,4.1935206052671266,-2.627321154463903,3.009601284720077
0.9610000000000007,4.194823929787538,-2.6274074089098374,3.010247602177732
0.9620000000000007,4.196124640832453,-2.627493076987236,3.010892572805606
0.9630000000000007,4.197422740432057,-2.6275781612877465,3.011536198621732
0.9640000000000007,4.198718230618256,-2.6276626643952294,3.0121784816362047
0.9650000000000007,4.200011113424634,-2.6277465888857763,3.0128194238512074
0.9660000000000007,4.201301390886412,-2.6278299373277254,3.0134590272610327
0.9670000000000007,4.20258906504041,-2.6279127122816806,3.0140972938521067
0.9680000000000007,4.203874137925005,-2.6279949163005263,3.014734225603013
0.9690000000000007,4.20515661158009,-2.6280765519294462,3.015369824484515
0.9700000000000008,4.206436488047038,-2.6281576217059412,3.0160040924595792
0.9710000000000008,4.207713769368659,-2.6282381281598446,3.0166370314833997
0.9720000000000008,4.208988457589159,-2.6283180738133405,3.0172686435034204
0.9730000000000008,4.2102605547541065,-2.6283974611809815,3.017898930459358
0.9740000000000008,4.211530062910389,-2.628476292769705,3.018527894283227
0.9750000000000008,4.212796984106173,-2.628554571078851,3.019155536899362
0.9760000000000008,4.214061320390871,-2.6286322986001798,3.0197818602244397
0.9770000000000008,4.215323073815097,-2.6287094778178886,3.0204068661675048
0.9780000000000008,4.216582246430631,-2.6287861112086284,3.0210305566299915
0.9790000000000008,4.217838840290383,-2.628862201241523,3.021652933505747
0.9800000000000008,4.219092857448349,-2.6289377503781846,3.022273998681055
0.9810000000000008,4.22034429995958,-2.6290127610727327,3.02289375403466
0.9820000000000008,4.22159316988014,-2.62908723577181,3.0235122014377884
0.9830000000000008,4.22283946926707,-2.6291611769145993,3.0241293427541733
0.9840000000000008,4.224083200178352,-2.629234586932844,3.0247451798400777
0.9850000000000008,4.225324364672871,-2.629307468250862,3.0253597145443165
0.9860000000000008,4.226562964810377,-2.6293798232855647,3.0259729487082816
0.9870000000000008,4.22779900265145,-2.6294516544464743,3.0265848841659637
0.9880000000000008,4.229032480257464,-2.6295229641357403,3.0271955227439755
0.9890000000000008,4.230263399690551,-2.6295937547481576,3.027804866261575
0.9900000000000008,4.231491763013561,-2.6296640286711845,3.02841291653069
0.9910000000000008,4.232717572290031,-2.629733788284958,3.029019675355939
0.9920000000000008,4.233940829584149,-2.6298030359623135,3.029625144534656
0.9930000000000008,4.235161536960715,-2.6298717740688,3.0302293258569133
0.9940000000000008,4.236379696485107,-2.6299400049626986,3.030832221105543
0.9950000000000008,4.23759531022325,-2.630007730995041,3.0314338320561625
