time,B1_0,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15
0.000000000,0.540302306,0.000000000,0.841470985,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841470985,0.000000000,0.540302306,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416146837,0.000000000,0.909297427,-0.841470985,0.000000000,1.000000000,0.000000000,0.000000000,-0.909297427,0.000000000,-0.416146837,-0.540302306,0.000000000,0.000000000,0.000000000,1.000000000
0.001000000,0.540308925,0.000000000,0.841466735,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841466735,0.000000000,0.540308925,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416143643,0.000000000,0.909298888,-0.841466735,0.000000000,1.000000000,0.000000000,0.000000000,-0.909298888,0.000000000,-0.416143643,-0.540308925,0.000000000,0.000000000,0.000000000,1.000000000
0.002000000,0.540322162,0.000000000,0.841458235,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841458235,0.000000000,0.540322162,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416137257,0.000000000,0.909301811,-0.841458235,0.000000000,1.000000000,0.000000000,0.000000000,-0.909301811,0.000000000,-0.416137257,-0.540322162,0.000000000,0.000000000,0.000000000,1.000000000
0.003000000,0.540342017,0.000000000,0.841445485,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841445485,0.000000000,0.540342017,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416127678,0.000000000,0.909306195,-0.841445485,0.000000000,1.000000000,0.000000000,0.000000000,-0.909306195,0.000000000,-0.416127678,-0.540342017,0.000000000,0.000000000,0.000000000,1.000000000
0.004000000,0.540368490,0.000000000,0.841428485,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841428485,0.000000000,0.540368490,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416114904,0.000000000,0.909312040,-0.841428485,0.000000000,1.000000000,0.000000000,0.000000000,-0.909312040,0.000000000,-0.416114904,-0.540368490,0.000000000,0.000000000,0.000000000,1.000000000
0.005000000,0.540401580,0.000000000,0.841407233,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841407233,0.000000000,0.540401580,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416098936,0.000000000,0.909319347,-0.841407233,0.000000000,1.000000000,0.000000000,0.000000000,-0.909319347,0.000000000,-0.416098936,-0.540401580,0.000000000,0.000000000,0.000000000,1.000000000
0.006000000,0.540441286,0.000000000,0.841381731,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841381731,0.000000000,0.540441286,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416079773,0.000000000,0.909328116,-0.841381731,0.000000000,1.000000000,0.000000000,0.000000000,-0.909328116,0.000000000,-0.416079773,-0.540441286,0.000000000,0.000000000,0.000000000,1.000000000
0.007000000,0.540487606,0.000000000,0.841351976,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841351976,0.000000000,0.540487606,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416057414,0.000000000,0.909338347,-0.841351976,0.000000000,1.000000000,0.000000000,0.000000000,-0.909338347,0.000000000,-0.416057414,-0.540487606,0.000000000,0.000000000,0.000000000,1.000000000
0.008000000,0.540540540,0.000000000,0.841317969,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841317969,0.000000000,0.540540540,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416031857,0.000000000,0.909350039,-0.841317969,0.000000000,1.000000000,0.000000000,0.000000000,-0.909350039,0.000000000,-0.416031857,-0.540540540,0.000000000,0.000000000,0.000000000,1.000000000
0.009000000,0.540600086,0.000000000,0.841279708,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841279708,0.000000000,0.540600086,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.416003102,0.000000000,0.909363194,-0.841279708,0.000000000,1.000000000,0.000000000,0.000000000,-0.909363194,0.000000000,-0.416003102,-0.540600086,0.000000000,0.000000000,0.000000000,1.000000000
0.010000000,0.540666241,0.000000000,0.841237194,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841237194,0.000000000,0.540666241,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.415971148,0.000000000,0.909377812,-0.841237194,0.000000000,1.000000000,0.000000000,0.000000000,-0.909377812,0.000000000,-0.415971148,-0.540666241,0.000000000,0.000000000,0.000000000,1.000000000
0.011000000,0.540739005,0.000000000,0.841190424,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841190424,0.000000000,0.540739005,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.415935992,0.000000000,0.909393892,-0.841190424,0.000000000,1.000000000,0.000000000,0.000000000,-0.909393892,0.000000000,-0.415935992,-0.540739005,0.000000000,0.000000000,0.000000000,1.000000000
0.012000000,0.540818374,0.000000000,0.841139398,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841139398,0.000000000,0.540818374,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.415897632,0.000000000,0.909411436,-0.841139398,0.000000000,1.000000000,0.000000000,0.000000000,-0.909411436,0.000000000,-0.415897632,-0.540818374,0.000000000,0.000000000,0.000000000,1.000000000
0.013000000,0.540904347,0.000000000,0.841084114,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841084114,0.000000000,0.540904347,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.415856068,0.000000000,0.909430443,-0.841084114,0.000000000,1.000000000,0.000000000,0.000000000,-0.909430443,0.000000000,-0.415856068,-0.540904347,0.000000000,0.000000000,0.000000000,1.000000000
0.014000000,0.540996921,0.000000000,0.841024573,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.841024573,0.000000000,0.540996921,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.415811298,0.000000000,0.909450914,-0.841024573,0.000000000,1.000000000,0.000000000,0.000000000,-0.909450914,0.000000000,-0.415811298,-0.540996921,0.000000000,0.000000000,0.000000000,1.000000000
0.015000000,0.541096093,0.000000000,0.840960771,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-0.840960771,0.000000000,0.541096093,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.415763317,0.000000000,0.909472849,-0.840960771,0.000000000,1.000000000,0.000000000,0.000000000,-0.909472849,0.000000000,-0.415763317,-0.541096093,0.000000000,0.000000000,0.000000000,1.000000000
